long,lat,drive
41.141412,-8.618643,0
41.141376,-8.618499,0
41.14251,-8.620326,0
41.143815,-8.622153,0
41.144373,-8.623953,0
41.144778,-8.62668,0
41.144697,-8.627373,0
41.14521,-8.630226,0
41.14692,-8.632746,0
41.148225,-8.631738,0
41.150385,-8.629938,0
41.151213,-8.62911,0
41.15124,-8.629128,0
41.152203,-8.628786,0
41.152374,-8.628687,0
41.152518,-8.628759,0
41.15268,-8.630838,0
41.153022,-8.632323,0
41.154489,-8.631144,0
41.154507,-8.630829,0
41.154516,-8.630829,0
41.154498,-8.630829,0
41.154489,-8.630838,0
41.159826,-8.639847,1
41.159871,-8.640351,1
41.160114,-8.642196,1
41.160492,-8.644455,1
41.160951,-8.646921,1
41.161491,-8.649999,1
41.162031,-8.653167,1
41.16258,-8.656434,1
41.163192,-8.660178,1
41.163687,-8.663112,1
41.1642,-8.666235,1
41.164704,-8.669169,1
41.165136,-8.670852,1
41.166576,-8.670942,1
41.167962,-8.66961,1
41.168988,-8.668098,1
41.170005,-8.66664,1
41.170635,-8.665767,1
41.170671,-8.66574,1
41.140359,-8.612964,2
41.14035,-8.613378,2
41.140278,-8.614215,2
41.140368,-8.614773,2
41.140449,-8.615907,2
41.140602,-8.616609,2
41.141412,-8.618472,2
41.142789,-8.620623,2
41.144094,-8.622558,2
41.144805,-8.62506,2
41.144733,-8.627436,2
41.145174,-8.630082,2
41.146461,-8.6319,2
41.147316,-8.632584,2
41.148774,-8.631252,2
41.150628,-8.629713,2
41.152077,-8.628804,2
41.152464,-8.628579,2
41.152662,-8.62875,2
41.15277,-8.630424,2
41.152779,-8.632683,2
41.152563,-8.635131,2
41.153013,-8.637705,2
41.15358,-8.64036,2
41.154021,-8.642205,2
41.154507,-8.644068,2
41.154336,-8.646453,2
41.1543,-8.648613,2
41.154336,-8.649504,2
41.154354,-8.649837,2
41.1543,-8.649837,2
41.154282,-8.649882,2
41.1543,-8.649936,2
41.154264,-8.6499,2
41.141736,-8.599383,2
41.140566,-8.59653,2
41.154291,-8.65008,2
41.153814,-8.650395,2
41.153832,-8.650377,2
41.153787,-8.650359,2
41.153166,-8.649891,2
41.152572,-8.649369,2
41.152374,-8.649198,2
41.151213,-8.649711,2
41.150466,-8.649117,2
41.149062,-8.649117,2
41.148261,-8.648613,2
41.148225,-8.648424,2
41.148405,-8.647587,2
41.148414,-8.64594,2
41.148135,-8.643861,2
41.148027,-8.642763,2
41.14836,-8.640918,2
41.148351,-8.637759,2
41.147964,-8.635338,2
