"","x","y","drive"
"1",0,0,1
"2",18.6,-11.1,1
"3",36.1,-21.9,1
"4",53.7,-32.6,1
"5",70.1,-42.8,1
"6",86.5,-52.6,1
"7",101.7,-62.3,1
"8",117,-71.6,1
"9",131.2,-80.4,1
"10",145.5,-88.7,1
"11",159.7,-96.8,1
"12",171.7,-104,1
"13",182.5,-111,1
"14",193.4,-117.7,1
"15",202,-124,1
"16",211.8,-130.4,1
"17",221.5,-137,1
"18",231.3,-143.6,1
"19",239.8,-150.3,1
"20",250.6,-157.1,1
"21",260.4,-163.8,1
"22",270.1,-170.8,1
"23",279.8,-177.8,1
"24",289.5,-185,1
"25",302.6,-193.1,1
"26",314.5,-201.2,1
"27",325.2,-209.4,1
"28",337.2,-218.7,1
"29",347.8,-228.1,1
"30",357.5,-237.1,1
"31",367,-246,1
"32",376.6,-255.1,1
"33",386.2,-264.4,1
"34",395.7,-273.8,1
"35",404.1,-282.9,1
"36",410.3,-291.6,1
"37",416.6,-299.8,1
"38",421.8,-306.9,1
"39",422.5,-313,1
"40",425.4,-319,1
"41",428.4,-324.8,1
"42",430.3,-330.8,1
"43",431,-337,1
"44",432.8,-344.4,1
"45",433.3,-353.1,1
"46",436,-363.1,1
"47",438.7,-374,1
"48",442.4,-385.3,1
"49",443.9,-396.3,1
"50",445.5,-407.4,1
"51",448.1,-417.8,1
"52",448.6,-426.8,1
"53",451.5,-434.1,1
"54",452.3,-439.2,1
"55",453.2,-441.9,1
"56",453.2,-442.5,1
"57",453.2,-442.6,1
"58",453.2,-442.7,1
"59",453.1,-442.9,1
"60",452,-443.2,1
"61",452,-443.5,1
"62",452,-444.1,1
"63",452.9,-446.2,1
"64",455,-450.2,1
"65",459.1,-456,1
"66",460.9,-462.5,1
"67",462.6,-469.9,1
"68",464.4,-478.3,1
"69",466,-486.7,1
"70",466.6,-495.3,1
"71",467.1,-503.7,1
"72",468.8,-512,1
"73",469.4,-519.7,1
"74",471.2,-526.9,1
"75",470.7,-533.3,1
"76",471.5,-538.9,1
"77",471.2,-543.5,1
"78",472,-547.8,1
"79",474,-552,1
"80",474.9,-555.1,1
"81",480.4,-556.9,1
"82",484.9,-557,1
"83",490.5,-556.7,1
"84",497.3,-556.2,1
"85",506.4,-556.2,1
"86",514.3,-556.1,1
"87",521,-556.1,1
"88",525.5,-556.2,1
"89",528.8,-556.2,1
"90",531.1,-555.9,1
"91",534.5,-555.2,1
"92",540.2,-554.4,1
"93",546.9,-554.1,1
"94",553.7,-554.2,1
"95",560.5,-554.4,1
"96",569.5,-555,1
"97",579.5,-555.7,1
"98",589.7,-556.2,1
"99",599.9,-555.8,1
"100",611.2,-556,1
"101",622.4,-556.3,1
"102",632.6,-557.8,1
"103",643.6,-560.5,1
"104",653.6,-565.2,1
"105",662.1,-572.5,1
"106",671.6,-581.2,1
"107",680.2,-590.2,1
"108",689.6,-599.9,1
"109",699.2,-609.9,1
"110",711,-620.2,1
"111",723.8,-631.1,1
"112",735.7,-642.2,1
"113",748.5,-654,1
"114",760.1,-666.1,1
"115",771.9,-678.1,1
"116",784.6,-690.6,1
"117",796.3,-703.2,1
"118",806.8,-716.4,1
"119",819.4,-731.3,1
"120",835.2,-751.2,1
"121",850.1,-768.5,1
"122",863.8,-784.9,1
"123",879.9,-800.7,1
"124",892.5,-816,1
"125",906.3,-831,1
"126",920.1,-845.4,1
"127",935.1,-859.9,1
"128",951.3,-874.2,1
"129",966.3,-888.1,1
"130",982.4,-902.5,1
"131",998.6,-916.9,1
"132",1015.9,-931.4,1
"133",1030.8,-945.5,1
"134",1045.9,-959.5,1
"135",1059.8,-973.3,1
"136",1074.8,-986.9,1
"137",1089.9,-1000.6,1
"138",1103.8,-1014.1,1
"139",1118.8,-1027.6,1
"140",1132.7,-1041.1,1
"141",1147.7,-1054.8,1
"142",1162.8,-1068.6,1
"143",1177.8,-1082.3,1
"144",1191.7,-1095.9,1
"145",1206.7,-1109.5,1
"146",1221.8,-1123,1
"147",1236.8,-1136.7,1
"148",1250.7,-1150.2,1
"149",1265.7,-1164.1,1
"150",1281.9,-1177.9,1
"151",1296.9,-1191.7,1
"152",1312,-1205.4,1
"153",1328.1,-1219.2,1
"154",1343.2,-1232.9,1
"155",1358.1,-1246.8,1
"156",1373.1,-1260.9,1
"157",1387,-1275.3,1
"158",1400.8,-1290.5,1
"159",1413.3,-1306.5,1
"160",1425.9,-1322.7,1
"161",1437.4,-1338.8,1
"162",1448.8,-1354.9,1
"163",1461.4,-1371,1
"164",1474.1,-1387.2,1
"165",1485.4,-1403.2,1
"166",1498,-1419.4,1
"167",1509.6,-1435.2,1
"168",1522.1,-1451.5,1
"169",1533.6,-1467.4,1
"170",1545,-1483.5,1
